"""Apple""",,
Shou Zi Chew,no page,
Manu Kumar Jain,no page,
Deepak Nakra,no page,
Raghu Reddy,no page,
Xiang Wang,no page,
,,
"""Ebay""",,
Devin N. Wenig,https://en.wikipedia.org/wiki/Devin_Wenig,
Pierre M. Omidyar,https://en.wikipedia.org/wiki/Pierre_Omidyar,
Scott F. Schenkel,no page,
Wendy Jones,no page,
Sukhinder Singh Cassidy,https://en.wikipedia.org/wiki/Sukhinder_Singh_Cassidy,
Scott Cutler,no page,
Alesssandro Coppo,no page,
David Doctorow,no page,
Vladimir Dolgov,no page,
Damien Hooper-Campbell,no page,
Marie Oh Huber,no page,
Jae Hyun Lee,no page,
Tim Mackinnon,no page,
Kris Miller,no page,
Julie Nestor,no page,
Joo-Man Park,no page,
Jan Pedersen,no page,
Jeremy Paul Todd,no page,
Kristin Yetto,no page,
,,
"""Airbnb""",,
Brian Chesky,https://en.wikipedia.org/wiki/Brian_Chesky,
Nathan Blecharczyk,https://en.wikipedia.org/wiki/Nathan_Blecharczyk,
Joe Gebbia,https://en.wikipedia.org/wiki/Joe_Gebbia,
Belinda J. Johnson,no page,
Greg Greeley,https://en.wikipedia.org/wiki/Greg_Greeley,
Chip Conley,https://en.wikipedia.org/wiki/Chip_Conley,
Alex Schleifer,no page,
,,
"""Meiduan""",,
Shreekant Phumbra,no page,
Xing Wang,https://en.wikipedia.org/wiki/Wang_Xing,
Rongjun Mu,no page,
Huiwen Wang,no page,
